iter	Passed	Remaining
221	886	3106
222	890	3102
223	894	3097
224	898	3093
225	902	3089
226	906	3085
227	910	3081
228	913	3076
229	917	3072
230	921	3068
231	925	3064
232	929	3059
233	933	3054
234	937	3050
235	941	3046
236	945	3042
237	948	3037
238	953	3035
239	957	3030
240	961	3027
241	965	3023
242	969	3019
243	972	3014
244	976	3010
245	980	3006
246	984	3002
247	988	2997
248	992	2994
249	996	2990
250	1000	2986
251	1004	2982
252	1008	2978
253	1013	2975
254	1017	2972
255	1021	2969
256	1025	2965
257	1058	3043
258	1071	3065
259	1078	3070
260	1085	3072
261	1090	3070
262	1094	3066
263	1098	3061
264	1102	3058
265	1107	3055
266	1111	3051
267	1116	3048
268	1120	3043
269	1124	3039
270	1128	3036
271	1133	3034
272	1138	3031
273	1143	3028
274	1147	3024
275	1151	3021
276	1155	3017
277	1160	3014
278	1164	3010
279	1169	3008
280	1174	3004
281	1178	3001
282	1183	2998
283	1188	2996
284	1192	2992
285	1197	2989
286	1201	2986
287	1206	2981
288	1210	2978
289	1214	2974
290	1219	2971
291	1223	2967
292	1228	2964
293	1233	2961
294	1237	2956
295	1241	2953
296	1246	2950
297	1250	2946
298	1254	2941
299	1259	2939
300	1263	2934
301	1268	2930
302	1272	2926
303	1276	2923
304	1281	2919
305	1284	2914
306	1289	2911
307	1293	2907
308	1298	2903
309	1302	2898
310	1306	2895
311	1310	2890
312	1315	2887
313	1319	2882
314	1323	2878
315	1328	2875
316	1332	2870
317	1335	2864
318	1340	2860
319	1344	2856
320	1348	2852
321	1352	2847
322	1356	2843
323	1360	2838
324	1364	2834
325	1368	2829
326	1372	2824
327	1376	2820
328	1381	2817
329	1385	2813
330	1389	2808
331	1393	2804
332	1397	2798
333	1401	2794
334	1405	2789
335	1409	2784
336	1412	2779
337	1417	2775
338	1420	2770
339	1424	2765
340	1428	2760
341	1432	2755
342	1436	2751
343	1440	2746
344	1444	2742
345	1448	2737
346	1451	2732
347	1455	2727
348	1459	2722
349	1463	2717
350	1467	2713
351	1471	2708
352	1475	2703
353	1478	2698
354	1483	2695
355	1487	2690
356	1490	2685
357	1494	2680
358	1498	2675
359	1502	2670
360	1506	2665
361	1510	2661
362	1513	2656
363	1517	2652
364	1521	2647
365	1525	2642
366	1529	2638
367	1533	2633
368	1537	2629
369	1540	2623
370	1545	2620
371	1549	2615
372	1553	2610
373	1557	2606
374	1561	2601
375	1564	2597
376	1569	2592
377	1572	2587
378	1576	2583
379	1580	2578
380	1584	2573
381	1587	2568
382	1591	2563
383	1595	2558
384	1598	2553
385	1602	2548
386	1605	2543
387	1609	2539
388	1613	2534
389	1617	2530
390	1621	2525
391	1625	2521
392	1629	2516
393	1633	2512
394	1636	2507
395	1640	2502
396	1644	2497
397	1648	2493
398	1652	2489
399	1656	2484
400	1659	2479
401	1663	2474
402	1668	2471
403	1672	2466
404	1676	2462
405	1679	2457
406	1684	2453
407	1687	2448
408	1691	2444
409	1695	2439
410	1699	2435
411	1703	2430
412	1707	2427
413	1711	2422
414	1715	2418
415	1719	2413
416	1723	2409
417	1726	2404
418	1731	2400
419	1734	2395
420	1738	2391
421	1742	2387
422	1747	2383
423	1751	2379
424	1754	2374
425	1758	2369
426	1762	2365
427	1767	2361
428	1770	2357
429	1774	2352
430	1778	2348
431	1782	2343
432	1786	2339
433	1790	2335
434	1794	2330
435	1798	2326
436	1802	2322
437	1806	2317
438	1810	2313
439	1814	2309
440	1818	2305
441	1823	2301
442	1827	2297
443	1830	2292
444	1835	2288
445	1839	2284
446	1843	2280
447	1847	2275
448	1851	2271
449	1855	2267
450	1860	2264
451	1864	2260
452	1868	2256
453	1874	2254
454	1878	2250
455	1882	2245
456	1886	2241
457	1895	2243
458	1902	2242
459	1908	2239
460	1911	2235
461	1915	2230
462	1919	2226
463	1924	2223
464	1928	2218
465	1932	2214
466	1937	2211
467	1942	2208
468	1947	2205
469	1952	2201
470	1957	2198
471	1961	2194
472	1965	2189
473	1969	2185
474	1974	2182
475	1978	2178
476	1982	2174
477	1986	2169
478	1991	2166
479	1995	2161
480	1999	2157
481	2004	2154
482	2010	2152
483	2014	2148
484	2018	2143
485	2024	2140
486	2028	2137
487	2032	2132
488	2037	2128
489	2041	2125
490	2046	2121
491	2050	2116
492	2055	2113
493	2060	2110
494	2064	2106
495	2069	2102
496	2073	2098
497	2078	2095
498	2083	2091
499	2089	2089
500	2093	2085
501	2098	2081
502	2104	2079
503	2108	2075
504	2112	2070
505	2118	2068
506	2123	2064
507	2127	2060
508	2131	2056
509	2136	2053
510	2141	2048
511	2145	2044
512	2149	2040
513	2154	2037
514	2159	2033
515	2163	2029
516	2168	2025
517	2172	2021
518	2176	2017
519	2180	2012
520	2185	2009
521	2189	2004
522	2193	2000
523	2197	1996
524	2202	1992
525	2206	1988
526	2211	1984
527	2214	1979
528	2218	1975
529	2222	1970
530	2226	1966
531	2230	1961
532	2234	1957
533	2237	1952
534	2242	1948
535	2246	1944
536	2250	1940
537	2254	1935
538	2259	1932
539	2263	1928
540	2267	1924
541	2271	1919
542	2275	1915
543	2280	1911
544	2284	1907
545	2288	1903
546	2293	1898
547	2297	1894
548	2302	1891
549	2306	1886
550	2310	1882
551	2314	1878
552	2319	1874
553	2323	1870
554	2327	1866
555	2331	1862
556	2335	1857
557	2340	1853
558	2344	1849
559	2348	1845
560	2352	1841
561	2357	1837
562	2361	1832
563	2365	1828
564	2369	1824
565	2373	1820
566	2377	1815
567	2382	1811
568	2386	1807
569	2390	1803
570	2393	1798
571	2398	1794
572	2402	1790
573	2407	1786
574	2411	1782
575	2415	1778
576	2420	1774
577	2424	1769
578	2428	1765
579	2433	1761
580	2436	1757
581	2440	1753
582	2444	1748
583	2449	1745
584	2453	1740
585	2457	1736
586	2461	1731
587	2466	1727
588	2470	1723
589	2474	1719
590	2477	1714
591	2482	1710
592	2486	1706
593	2490	1702
594	2496	1699
595	2500	1695
596	2505	1691
597	2509	1686
598	2513	1682
599	2517	1678
600	2521	1674
601	2525	1669
602	2530	1665
603	2534	1661
604	2538	1657
605	2542	1652
606	2546	1648
607	2550	1644
608	2554	1640
609	2559	1636
610	2563	1632
611	2567	1628
612	2571	1623
613	2575	1619
614	2580	1615
615	2584	1611
616	2588	1606
617	2592	1602
618	2597	1598
619	2600	1594
620	2604	1589
621	2609	1585
622	2613	1581
623	2617	1577
624	2621	1573
625	2625	1568
626	2630	1564
627	2634	1560
628	2638	1556
629	2642	1551
630	2647	1548
631	2651	1543
632	2655	1539
633	2659	1535
634	2664	1531
635	2668	1527
636	2672	1522
637	2676	1518
638	2681	1514
639	2685	1510
640	2689	1506
641	2693	1501
642	2698	1497
643	2701	1493
644	2705	1489
645	2709	1484
646	2714	1481
647	2718	1476
648	2722	1472
649	2727	1468
650	2731	1464
651	2735	1459
652	2739	1455
653	2743	1451
654	2747	1447
655	2751	1442
656	2755	1438
657	2760	1434
658	2764	1430
659	2768	1426
660	2772	1421
661	2776	1417
662	2779	1412
663	2783	1408
664	2787	1404
665	2791	1399
666	2795	1395
667	2800	1391
668	2804	1387
669	2808	1383
670	2813	1379
671	2816	1374
672	2821	1370
673	2824	1366
674	2829	1362
675	2833	1358
676	2837	1353
677	2841	1349
678	2846	1345
679	2849	1341
680	2854	1336
681	2858	1332
682	2862	1328
683	2866	1324
684	2870	1320
685	2874	1315
686	2879	1311
687	2882	1307
688	2887	1303
689	2891	1298
690	2895	1295
691	2899	1290
692	2904	1286
693	2907	1282
694	2912	1278
695	2916	1273
696	2920	1269
697	2924	1265
698	2928	1260
699	2931	1256
700	2936	1252
701	2940	1248
702	2944	1243
703	2948	1239
704	2951	1235
705	2955	1230
706	2959	1226
707	2963	1222
708	2967	1217
709	2971	1213
710	2975	1209
711	2979	1205
712	2983	1200
713	2986	1196
714	2991	1192
715	2994	1187
716	2998	1183
717	3002	1179
718	3006	1174
719	3009	1170
720	3013	1166
721	3017	1161
722	3021	1157
723	3025	1153
724	3029	1149
725	3033	1144
726	3037	1140
727	3042	1136
728	3046	1132
729	3050	1128
730	3054	1123
731	3058	1119
732	3062	1115
733	3066	1111
734	3070	1106
735	3074	1102
736	3078	1098
737	3082	1094
738	3085	1089
739	3089	1085
740	3093	1081
741	3097	1077
742	3101	1072
743	3104	1068
744	3108	1064
745	3112	1059
746	3116	1055
747	3120	1051
748	3124	1046
749	3127	1042
750	3132	1038
751	3135	1034
752	3139	1029
753	3143	1025
754	3147	1021
755	3151	1017
756	3155	1012
757	3159	1008
758	3163	1004
759	3167	1000
760	3171	996
761	3175	991
762	3180	987
763	3183	983
764	3187	979
765	3191	974
766	3195	970
767	3199	966
768	3203	962
769	3207	958
770	3211	953
771	3215	949
772	3220	945
773	3224	941
774	3228	937
775	3232	933
776	3236	928
777	3240	924
778	3244	920
779	3249	916
780	3253	912
781	3256	907
782	3260	903
783	3264	899
784	3268	895
785	3272	890
786	3276	886
787	3280	882
788	3284	878
789	3288	874
790	3292	869
791	3296	865
792	3300	861
793	3303	857
794	3307	852
795	3312	848
796	3315	844
797	3319	840
798	3323	836
799	3327	831
800	3332	827
801	3335	823
802	3339	819
803	3343	815
804	3347	810
805	3351	806
806	3355	802
807	3359	798
808	3362	793
809	3366	789
810	3370	785
811	3374	781
812	3378	777
813	3382	772
814	3386	768
815	3391	764
816	3395	760
817	3399	756
818	3403	752
819	3407	748
820	3412	744
821	3416	739
822	3420	735
823	3424	731
824	3428	727
825	3432	723
826	3437	719
827	3441	714
828	3445	710
829	3449	706
830	3453	702
831	3458	698
832	3462	694
833	3466	689
834	3470	685
835	3473	681
836	3478	677
837	3482	673
838	3486	669
839	3490	664
840	3494	660
841	3498	656
842	3502	652
843	3506	648
844	3510	643
845	3514	639
846	3519	635
847	3523	631
848	3527	627
849	3531	623
850	3535	619
851	3540	614
852	3544	610
853	3548	606
854	3551	602
855	3556	598
856	3560	594
857	3564	589
858	3568	585
859	3573	581
860	3577	577
861	3582	573
862	3586	569
863	3590	565
864	3593	560
865	3598	556
866	3602	552
867	3606	548
868	3609	544
869	3613	540
870	3617	535
871	3622	531
872	3626	527
873	3630	523
874	3633	519
875	3637	514
876	3642	510
877	3645	506
878	3649	502
879	3653	498
880	3657	494
881	3661	489
882	3665	485
883	3669	481
884	3673	477
885	3677	473
886	3681	469
887	3685	464
888	3689	460
889	3693	456
890	3697	452
891	3701	448
892	3705	443
893	3708	439
894	3712	435
895	3716	431
896	3720	427
897	3724	423
898	3729	418
899	3733	414
900	3737	410
901	3740	406
902	3744	402
903	3748	398
904	3752	393
905	3756	389
906	3759	385
907	3763	381
908	3767	377
909	3771	372
910	3774	368
911	3778	364
912	3782	360
913	3786	356
914	3790	352
915	3794	347
916	3798	343
917	3801	339
918	3805	335
919	3809	331
920	3813	327
921	3817	322
922	3821	318
923	3825	314
924	3829	310
925	3833	306
926	3837	302
927	3841	298
928	3845	293
929	3849	289
930	3854	285
931	3857	281
932	3861	277
933	3865	273
934	3869	269
935	3873	264
936	3878	260
937	3881	256
938	3885	252
939	3889	248
940	3893	244
941	3898	240
942	3902	235
943	3906	231
944	3910	227
945	3914	223
946	3918	219
947	3922	215
948	3925	210
949	3930	206
950	3934	202
951	3938	198
952	3942	194
953	3946	190
954	3950	186
955	3954	182
956	3958	177
957	3962	173
958	3966	169
959	3970	165
960	3974	161
961	3978	157
962	3982	153
963	3986	148
964	3990	144
965	3994	140
966	3998	136
967	4003	132
968	4006	128
969	4010	124
970	4014	119
971	4018	115
972	4022	111
973	4026	107
974	4030	103
975	4035	99
976	4040	95
977	4045	91
978	4049	86
979	4053	82
980	4056	78
981	4061	74
982	4064	70
983	4069	66
984	4072	62
985	4076	57
986	4080	53
987	4084	49
988	4088	45
989	4092	41
990	4096	37
991	4099	33
992	4103	28
993	4107	24
994	4111	20
995	4114	16
996	4118	12
997	4122	8
998	4126	4
999	4129	0
