iter	Logloss
0	0.6259988514
1	0.5696763598
2	0.5214127439
3	0.480693228
4	0.4455196805
5	0.4158301868
6	0.39342787
7	0.370734007
8	0.35180527
9	0.3346958148
10	0.3214655745
11	0.3079953623
12	0.2969324228
13	0.285753805
14	0.2756567146
15	0.2679028458
16	0.2612725442
17	0.2547055951
18	0.249934708
19	0.2443346097
20	0.2403359261
21	0.2361807162
22	0.2319010295
23	0.2282105152
24	0.2254108848
25	0.223128545
26	0.2198901397
27	0.216930273
28	0.214622165
29	0.21231593
30	0.2101994707
31	0.2078081372
32	0.2059733697
33	0.2042558539
34	0.2028211027
35	0.2015609592
36	0.20006491
37	0.1986496661
38	0.197521084
39	0.1964586938
40	0.1952252657
41	0.1939637828
42	0.1931305205
43	0.1918114095
44	0.1904078567
45	0.1890596203
46	0.1880501816
47	0.1868226814
48	0.1859621618
49	0.184775304
50	0.1840313199
51	0.1830013474
52	0.1820986047
53	0.1812179623
54	0.1805298232
55	0.1797401558
56	0.1788138435
57	0.1783484576
58	0.1776916299
59	0.1770489326
60	0.1761502009
61	0.1757135316
62	0.1748010332
63	0.1739979966
64	0.173337636
65	0.1729711669
66	0.1722256493
67	0.1715408472
68	0.1709833081
69	0.170653719
70	0.1702209474
71	0.169902991
72	0.1693254152
73	0.1689755708
74	0.1685874924
75	0.1679904405
76	0.1677107543
77	0.1670245792
78	0.1668001304
79	0.16618158
80	0.1655920184
81	0.1650576612
82	0.1646763363
83	0.1642610409
84	0.1639503246
85	0.163559124
86	0.163303415
87	0.1628287551
88	0.1624129878
89	0.1620020448
90	0.1614988984
91	0.1610425834
92	0.1607030074
93	0.1605073932
94	0.1601408813
95	0.159760995
96	0.159434368
97	0.158893311
98	0.1582854565
99	0.1580358395
100	0.1575457778
101	0.157017749
102	0.1567460003
103	0.156413567
104	0.1560230264
105	0.1557320292
106	0.1553237057
107	0.1549164986
108	0.1545838664
109	0.1542616573
110	0.1538880979
111	0.1534612898
112	0.1530729891
113	0.1526302298
114	0.1523490509
115	0.152096587
116	0.1517326437
117	0.1513119714
118	0.1510759867
119	0.1508405292
120	0.1506271033
121	0.1504682036
122	0.1502452175
123	0.1498791122
124	0.1497113574
125	0.1494288976
126	0.1492637403
127	0.1488943681
128	0.1484357708
129	0.1480403582
130	0.1478385243
131	0.1475974844
132	0.1473968883
133	0.147058158
134	0.1468634332
135	0.1467642453
136	0.1464761004
137	0.1462358312
138	0.1459977253
139	0.1456918027
140	0.1454198405
141	0.1450109038
142	0.1446810294
143	0.1445414947
144	0.1443986012
145	0.1440631074
146	0.1438002651
147	0.1435151011
